code,airport_name
AYO,Juan de Ayolas Airport
AYP,Coronel FAP Alfredo Mendívil Duarte Airport
AYQ,Ayers Rock Airport
AYR,Ayr Airport
AYS,Waycross–Ware County Airport
AYT,Antalya Airport
AYU,Aiyura Airport
AYX,Tnte. Gral. Gerardo Pérez Pinedo Airport
AYY,Arugam Bay Seaplane Base
AZA,Phoenix–Mesa Gateway Airport
AZB,Amazon Bay Airport
AZD,Shahid Sadooghi Airport
AZG,Pablo L. Sidar Airport
AZI,Al Bateen Executive Airport
AZL,Fazenda Tucunaré Airport
AZN,Andizhan Airport
AZO,Kalamazoo/Battle Creek International Airport
AZP,Jorge Jiménez Cantú National Airport
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS,Samaná El Catey International Airport
AZT,Zapatoca Airport
AZZ,Ambriz Airport
BAA,Bialla Airport
BAB,Beale Air Force Base
BAC,Barranca de Upia Airport
BAD,Barksdale Air Force Base
BAE,Barcelonnette – Saint-Pons Airport
BAF,Westfield-Barnes Regional Airport
BAG,Loakan Airport
BAH,Bahrain International Airport
BAI,Buenos Aires Airport
BAJ,Bali Airport
BAK[1],2
BAL,Batman Airport
BAM,Battle Mountain Airport
BAN,Basongo Airport
BAP,Baibara Airport
BAQ,Ernesto Cortissoz International Airport
BAR,Qionghai Bo'ao Airport
BAS,Balalae Airport
BAT,Chafei Amsei Airport
BAV,Baotou Airport
BAW,Biawonque Airport
BAX,Barnaul Airport
BAY,Baia Mare Airport
BAZ,Barcelos Airport
BBA,Balmaceda Airport
BBB,Benson Municipal Airport
BBC,Bay City Municipal Airport
BBD,Curtis Field
BBG,Butaritari Atoll Airport
BBH,Stralsund–Barth Airport
BBI,Biju Patnaik International Airport
BBJ,Bitburg Airport
BBK,Kasane Airport
BBL,Ballera Airport
BBM,Battambang Airport
BBN,Bario Airport
BBO,Berbera Airport
BBP,Bembridge Airport
BBQ,Barbuda Codrington Airport
BBR,Baillif Airport
BBS,Blackbushe Airport
BBT,Berbérati Airport
BBU,Aurel Vlaicu International Airport
BBV,Nero-Mer Airport
BBW,Broken Bow Municipal Airport
BBX,Wings Field
BBY,Bambari Airport
BBZ,Zambezi Airport
BCA,Gustavo Rizo Airport
BCB,Virginia Tech Montgomery Executive Airport
BCC,Bear Creek 3 Airport
BCD,Bacolod–Silay International Airport
BCE,Bryce Canyon Airport
BCF,Bouca Airport
BCG,Bemichi Airport
BCH,Baucau Airport
BCI,Barcaldine Airport
BCK,Bolwarra Airport
BCL,Barra del Colorado Airport
BCM,Bacău International Airport
BCN,Barcelona–El Prat Airport
BCO,Baco Airport
BCP,Bambu Airport
BCQ,Brak Airport
BCR,Novo Campo Airport
BCS,Southern Seaplane Airport
BCT,Boca Raton Airport
BCU,Bauchi State Airport
BCV,Hector Silva Airstrip
BCW,Benguerra Island Airport
BCX,Beloretsk Airport
BCY,Bulchi Airport
BCZ,Bickerton Island Airport
BDA,L.F. Wade International Airport
BDB,Bundaberg Airport
BDC,Barra do Corda Airport
BDD,Badu Island Airport
BDE,Baudette International Airport
BDF,Rinkenberger RLA Airport
BDG,Blanding Municipal Airport
BDH,Bandar Lengeh Airport
BDI,Bird Island Airport
BDJ,Syamsudin Noor Airport
BDK,Soko Airport
BDL,Bradley International Airport
BDM,Bandırma Airport
BDN,Talhar Airport
BDO,Husein Sastranegara International Airport
BDP,Bhadrapur Airport
BDQ,Vadodara Airport
BDR,Igor I. Sikorsky Memorial Airport
BDS,Brindisi – Salento Airport
BDT,Gbadolite Airport
BDU,Bardufoss Airport
BDV,Moba Airport
BDW,Bedford Downs Airport
BDX,Broadus Airport
BDY,Bandon State Airport
BDZ,Baindoung Airport
BEA,Bereina Airport
BEB,Benbecula Airport
BEC,Beech Factory Airport
BED,Laurence G. Hanscom Field
BEE,Beagle Bay Airport
BEF,Bluefields Airport
BEG,Belgrade Nikola Tesla Airport
BEH,Southwest Michigan Regional Airport
BEI,Beica Airport
BEJ,Kalimarau Airport
BEK,Bareilly Airport
BEL,Val de Cans International Airport
BEM,Beni Mellal Airport
BEN,Benina International Airport
BEO,Lake Macquarie Airport
BEP,Bellary Airport
BEQ,RAF Honington
BER,Berlin Brandenburg Airport
BES,Brest Bretagne Airport
BET,Bethel Airport
BEU,Bedourie Airport
BEV,Beersheba Airport
BEW,Beira Airport
BEX,RAF Benson
BEY,Beirut–Rafic Hariri International Airport
BEZ,Beru Island Airport
BFA[1],Bahía Negra Airport
BFC,Bloomfield Airport
BFD,Bradford Regional Airport
BFE,Bielefeld Airport
BFF,Western Nebraska Regional Airport
BFG,Bullfrog Basin Airport
BFH,Bacacheri Airport
BFI,Boeing Field/King County International Airport
BFJ,Bijie Feixiong Airport
BFK,Buckley Air Force Base
BFL,Meadows Field Airport
BFM,Mobile Downtown Airport
BFN,Bloemfontein Airport
BFO,Buffalo Range Airport
BFP,Beaver County Airport
BFQ,Bahía Piña Airport
BFR,Virgil I. Grissom Municipal Airport
BFS,Belfast International Airport
BFT,Beaufort County Airport
BFU,Bengbu Airport
BFV,Buriram Airport
BFW,Sidi Bel Abbès Airport
BFX,Bafoussam Airport
BGA,Palonegro International Airport
BGB,Booué Airport
BGC,Bragança Airport
BGD,Hutchinson County Airport
BGE,Decatur County Industrial Air Park
BGF,Bangui M'Poko International Airport
BGG,Bingöl Airport
BGH,Abbaye Airport
BGI,Grantley Adams International Airport
BGJ,Borgarfjörður Eystri Airport
BGK,Big Creek Airport
BGL,Balewa Airport
BGM,Greater Binghamton Airport
BGN,Belaya Gora Airport
BGO,"Bergen Airport, Flesland"
BGP,Bongo Airport
BGQ,Big Lake Airport
BGR,Bangor International Airport
BGT,Bagdad Airport
BGU,Bangassou Airport
BGV,Bento Gonçalves Airport
BGW,Baghdad International Airport
BGX,Comandante Gustavo Kraemer Airport
BGY,Il Caravaggio International Airport
BGZ,Braga Airport
BHA,Los Perales Airport
BHB,Hancock County-Bar Harbor Airport
BHD,George Best Belfast City Airport
BHE,Woodbourne Airport
BHF,Bahía Cupica Airport
BHG,Brus Laguna Airport
BHH,Bisha Domestic Airport
BHI,Comandante Espora Airport
BHJ,Bhuj Airport
BHK,Bukhara International Airport
BHL,Bahía de los Ángeles Airport
BHM,Birmingham–Shuttlesworth International Airport
BHN,Beihan Airport
BHO,Raja Bhoj Airport
BHP,Bhojpur Airport
BHQ,Broken Hill Airport
BHR,Bharatpur Airport
BHS,Bathurst Airport
BHT,Brighton Downs Airport
BHU,Bhavnagar Airport
BHV,Bahawalpur Airport
BHW,Bhagatanwala Airport
BHX,Birmingham Airport
BHY,Beihai Fucheng Airport
BHZ[1],3
BIA,Bastia – Poretta Airport
BIB,Baidoa Airport
BID,Block Island State Airport
BIE,Beatrice Municipal Airport
BIF,Biggs Army Airfield
BIG,Allen Army Airfield
BIH,Eastern Sierra Regional Airport
BII,Bikini Atoll Airport
BIJ,Biliau Airport
BIK,Frans Kaisiepo Airport
BIL,Billings Logan International Airport
BIM,South Bimini Airport
BIN,Bamyan Airport
BIO,Bilbao Airport
BIP,Bulimba Airport
BIQ,Biarritz Pays Basque Airport
BIR,Biratnagar Airport
BIS,Bismarck Municipal Airport
BIT,Baitadi Airport
BIU,Bíldudalur Airport
BIV,Bria Airport
BIW,Billiluna Airport
BIX,Keesler Air Force Base
BIY,Bhisho Airport
BIZ,Bimin Airport
BJA,Soummam – Abane Ramdane Airport
BJB,Bojnord Airport
BJC,Rocky Mountain Metropolitan Airport
BJD,Bakkafjörður Airport
BJE,Baleela Airport
BJF,Båtsfjord Airport
BJG,Kotamobagu Mopait Airport
BJH,Bajhang Airport
BJI,Bemidji Regional Airport
BJJ,Wayne County Airport
BJK,Benjina Airport
BJL,Banjul International Airport
BJM,Bujumbura International Airport
BJN,Bajone Airport
BJO,Bermejo Airport
BJP,Arthur Siqueira–Bragança Paulista State Airport
BJQ,Bahja Airport
BJR,Bahir Dar Airport
BJS[1],4
BJT,Bentota River Airport
BJU,Bajura Airport
BJV,Milas–Bodrum Airport
BJW,Bajawa Soa Airport
BJX,Del Bajío International Airport
BJY,Batajnica Air Base
BJZ,Badajoz Airport
BKB,Nal Airport
BKC,Buckland Airport
BKD,Stephens County Airport
BKE,Baker City Municipal Airport
BKF,Lake Brooks Seaplane Base
BKG,Branson Airport
BKH,Barking Sands PMRF
BKI,Kota Kinabalu International Airport
BKJ,Boké Baralande Airport
BKK,Suvarnabhumi Airport
